entity_id,name,cik,lei,wikidata_qid,ticker,subsector,parent_id,richness,coverage_flag,gov_cloud_likelihood,aliases,collision_terms,notes,owning_seller
E0098,Civitas Resources,0001509589,,,CIVI,og_ep,,medium,edgar-visible,unlikely,,,,
E0099,SM Energy,0000893538,,,SM,og_ep,,medium,edgar-visible,unlikely,,,,
E0100,CNX Resources,0001070412,,,CNX,og_ep,,medium,edgar-visible,unlikely,,,,
E0101,Comstock Resources,0000023194,,,CRK,og_ep,,medium,edgar-visible,unlikely,,,,
E0102,Matador Resources,0001520006,,,MTDR,og_ep,,medium,edgar-visible,unlikely,,,,
E0103,BKV Corporation,0001838406,,,BKV,og_ep,,medium,edgar-visible,unlikely,,,,
E0104,TXO Partners,0001559432,,,TXO,og_ep,,low,edgar-visible,unlikely,,,,
E0105,Murphy Oil,0000717423,,,MUR,og_ep,,medium,edgar-visible,unlikely,,,,
E0106,Magnolia Oil & Gas,0001698990,,,MGY,og_ep,,medium,edgar-visible,unlikely,,,,
E0107,Viper Energy,0002074176,,,VNOM,og_ep,,low,edgar-visible,unlikely,,,,
E0108,Northern Oil & Gas,0001104485,,,NOG,og_ep,,medium,edgar-visible,unlikely,,,,
E0109,Crescent Energy,0001866175,,,CRGY,og_ep,,medium,edgar-visible,unlikely,,,,
E0110,Enbridge (US),0000895728,,,ENB,midstream,,high,edgar-visible,possible,,,,
E0111,Kinder Morgan,0001506307,,,KMI,midstream,,high,edgar-visible,possible,,,,
E0112,Williams Companies,0000107263,,,WMB,midstream,,high,edgar-visible,possible,,,,
E0113,Enterprise Products Partners,0001061219,,,EPD,midstream,,high,edgar-visible,possible,,,,
E0114,Energy Transfer,0001276187,,,ET,midstream,,high,edgar-visible,possible,,,,
E0115,MPLX,0001552000,,,MPLX,midstream,,high,edgar-visible,unlikely,,,,
E0116,ONEOK,0001039684,,,OKE,midstream,,high,edgar-visible,possible,,,,
E0117,Plains All American,0001070423,,,PAA,midstream,,high,edgar-visible,possible,,,,
E0118,Targa Resources,0001389170,,,TRGP,midstream,,high,edgar-visible,unlikely,,,,
E0119,DT Midstream,0001842022,,,DTM,midstream,,medium,edgar-visible,unlikely,,,,
E0120,Western Midstream,0001423902,,,WES,midstream,,medium,edgar-visible,unlikely,,,,
E0121,EnLink Midstream,0001592000,,,ENLC,midstream,,medium,edgar-visible,unlikely,,,taken private by ONEOK 2025 - verify,
E0122,Hess Midstream,0001789832,,,HESM,midstream,,medium,edgar-visible,unlikely,,,,
E0123,Antero Midstream,0001623925,,,AM,midstream,,medium,edgar-visible,unlikely,,,,
E0124,Cheniere Energy,0000003570,,,LNG,lng,,high,edgar-visible,possible,,,,
E0125,Venture Global,0002007855,,,VG,lng,,high,edgar-visible,possible,,,,
E0126,NextDecade,0001612720,,,NEXT,lng,,medium,edgar-visible,unlikely,,,,
E0127,Kodiak Gas Services,0001767042,,,KGS,midstream,,medium,edgar-visible,unlikely,,,,
E0128,Genesis Energy,0001022321,,,GEL,midstream,,medium,edgar-visible,unlikely,,,,
E0129,SLB (Schlumberger),0000087347,,,SLB,ofs,,high,edgar-visible,possible,,,,
E0130,Halliburton,0000045012,,,HAL,ofs,,high,edgar-visible,possible,,,,
E0131,Baker Hughes,0001701605,,,BKR,ofs,,high,edgar-visible,possible,,,,
E0132,NOV Inc.,0001021860,,,NOV,ofs,,medium,edgar-visible,unlikely,,,,
E0133,Weatherford,0001603923,,,WFRD,ofs,,medium,edgar-visible,unlikely,,,,
E0134,Patterson-UTI,0000889900,,,PTEN,ofs,,medium,edgar-visible,unlikely,,,,
E0135,Helmerich & Payne,0000046765,,,HP,ofs,,medium,edgar-visible,unlikely,,,,
E0136,Liberty Energy,0001694028,,,LBRT,ofs,,medium,edgar-visible,unlikely,,,,
E0137,ProPetro,0001680247,,,PUMP,ofs,,low,edgar-visible,unlikely,,,,
E0138,ChampionX,0001723089,,,CHX,ofs,,medium,edgar-visible,unlikely,,,acquired by SLB 2025 - verify still filing,
E0139,Tidewater,0000098222,,,TDW,ofs,,low,edgar-visible,unlikely,,,,
E0140,Oceaneering,0000073756,,,OII,ofs,,medium,edgar-visible,unlikely,,,,
E0141,Marathon Petroleum,0001510295,,,MPC,refiner,,high,edgar-visible,possible,,,,
E0142,Valero Energy,0001035002,,,VLO,refiner,,high,edgar-visible,possible,,,,
E0143,Phillips 66,0001534701,,,PSX,refiner,,high,edgar-visible,possible,,,,
E0144,PBF Energy,0001534504,,,PBF,refiner,,medium,edgar-visible,unlikely,,,,
E0145,HF Sinclair,0001915657,,,DINO,refiner,,medium,edgar-visible,unlikely,,,,
E0146,CVR Energy,0001376139,,,CVI,refiner,,low,edgar-visible,unlikely,,,,
E0147,Delek US,0001694426,,,DK,refiner,,low,edgar-visible,unlikely,,,,
E0148,Par Pacific,0000821483,,,PARR,refiner,,low,edgar-visible,unlikely,,,,
E0149,Vistra,0001692819,,,VST,ipp,,high,edgar-visible,possible,,,,
E0150,NRG Energy,0001013871,,,NRG,ipp,,high,edgar-visible,possible,,,,
E0151,Talen Energy,0001622536,,,TLN,ipp,,high,edgar-visible,possible,,,,
E0152,Clearway Energy,0001567683,,,CWEN,renewables,,medium,edgar-visible,unlikely,,,,
E0153,Brookfield Renewable,0001533232,,,BEP,renewables,,medium,edgar-visible,unlikely,,,,
E0154,Ormat Technologies,0001296445,,,ORA,renewables,,medium,edgar-visible,unlikely,,,,
E0155,First Solar,0001274494,,,FSLR,renewables,,medium,edgar-visible,unlikely,,,,
E0156,Enphase Energy,0001463101,,,ENPH,renewables,,medium,edgar-visible,unlikely,,,,
E0157,Fluence Energy,0001868941,,,FLNC,storage,,medium,edgar-visible,unlikely,,,,
E0158,Bloom Energy,0001664703,,,BE,renewables,,medium,edgar-visible,unlikely,,,,
E0159,Sunrun,0001469367,,,RUN,renewables,,medium,edgar-visible,unlikely,,,,
E0160,Array Technologies,0001820721,,,ARRY,renewables,,low,edgar-visible,unlikely,,,,
E0161,Plug Power,0001093691,,,PLUG,renewables,,low,edgar-visible,unlikely,,,,
E0162,NextEra Energy Partners,0001603145,,,XIFR,renewables,,medium,edgar-visible,unlikely,,,renamed XPLR Infrastructure 2025,
E0163,Atlantica Sustainable Infra,0001601072,,,AY,renewables,,low,edgar-visible,unlikely,,,,
E0164,GE Vernova,0001996810,,,GEV,renewables,,high,edgar-visible,unlikely,,,,
E0165,PJM Interconnection,,,,,rto_iso,,medium,dark,possible,,,,
E0166,MISO,,,,,rto_iso,,medium,dark,possible,,,,
E0167,ERCOT,,,,,rto_iso,,medium,dark,possible,,,,
E0168,CAISO,,,,,rto_iso,,medium,dark,possible,,,,
E0169,Southwest Power Pool (SPP),,,,,rto_iso,,low,dark,possible,,,,
E0170,ISO New England,,,,,rto_iso,,low,dark,possible,,,,
E0171,NYISO,,,,,rto_iso,,low,dark,possible,,,,
