product_id,tier,included_or_addon,addon_price_note,upgrade_path,gcc_high,source_quality,verified_date,source_url
defender_identity,e5,included,included in E5/E7; via E5 Security addon for E3,E3 -> E5 Security addon,yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
defender_office365_p1,e3,included,rolling into E3/O365 E3 by Aug 1 2026,already owned at E3 (post-rollout),yes,primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
defender_office365_p2,e5,included,included in E5/E7; ~$5 standalone,E3 -> E5 Security addon,yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
defender_cloud_apps,e5,included,included in E5/E7; ~$3.50 standalone,E3 -> E5 Security addon,yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
defender_vuln_mgmt,addon_to_mdep2,addon,$2/user/mo addon to MDE P2; $3 standalone,MDE P2 + DVM addon,yes,non-primary,2026-08-11,https://costbench.com
defender_cloud_cspm,consumption,consumption,~$15/billable resource/mo; foundational CSPM free (opt-in for new subs from Oct 27 2026),Azure consumption; MACC-eligible,yes (Azure Gov),primary,2026-08-11,https://azure.microsoft.com/en-us/pricing/details/defender-for-cloud/
defender_cloud_servers_p1,consumption,consumption,~$5-7/server/mo,Azure consumption; MACC-eligible,yes,non-primary,2026-08-11,https://atonementlicensing.com/blog/defender-xdr-suite-pricing/
defender_cloud_servers_p2,consumption,consumption,~$15/server/mo; incl 500 MB/day Sentinel grant,Azure consumption; MACC-eligible,yes (no FIM in GCCM),primary,2026-08-11,https://learn.microsoft.com/en-us/azure/defender-for-cloud/data-ingestion-benefit
defender_cloud_sql,consumption,consumption,~$15/instance/mo,Azure consumption,yes,non-primary,2026-08-11,https://azure.microsoft.com/en-us/pricing/details/defender-for-cloud/
defender_cloud_containers,consumption,consumption,metered per vCore-hour,Azure consumption,yes,non-primary,2026-08-11,https://azure.microsoft.com/en-us/pricing/details/defender-for-cloud/
defender_iot_ot_xs,site_license,site,$70/mo per site (<=100 OT devices) ~ $840/yr,site license outside user licensing; bought in M365 admin center,Azure Gov path only (commercial SKU not sold GCC-H),primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot-pricing
defender_iot_ot_s,site_license,site,$150/mo (<=250 devices) ~ $1800/yr,site license,Azure Gov path only,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot-pricing
defender_iot_ot_m,site_license,site,$250/mo (<=500 devices) ~ $3000/yr,site license,Azure Gov path only,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot-pricing
defender_iot_ot_l,site_license,site,$400/mo (<=1000 devices) ~ $4800/yr,site license,Azure Gov path only,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot-pricing
defender_iot_ot_xl,site_license,site,$1500/mo (<=5000 devices) ~ $18000/yr; >5000 contact sales,site license,Azure Gov path only,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot-pricing
defender_iot_eiot,e5,included,5 eIoT devices per E5/E5-Security user; per-device addon to MDE P2,E5 entitlement,yes,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/endpoint-security/microsoft-defender-iot
sentinel_analytics_payg,consumption,consumption,~$4.30/GB ingested (East US),Azure consumption; MACC-eligible,yes (GA features),non-primary,2026-08-11,https://learn.microsoft.com/en-us/azure/sentinel/billing
sentinel_analytics_commit,consumption,consumption,commitment tiers 100 GB/day (~31% off) to 50000 GB/day (~52% off),EA/MACC commitment play,yes,non-primary,2026-08-11,https://learn.microsoft.com/en-us/azure/sentinel/billing
sentinel_datalake,consumption,consumption,~$0.026/GB/mo storage + ingestion/processing/query/compute meters; 6:1 compression,cold-tier retention play,yes,primary,2026-08-11,https://learn.microsoft.com/en-us/azure/sentinel/billing
sentinel_e5_grant,e5,included,5 MB/user/day free M365 data ingestion (E5/E7/A5/F5/G5 + Security variants),E5 sweetener for Sentinel play,yes,primary,2026-08-11,https://azure.microsoft.com/en-us/pricing/offers/sentinel-microsoft-365-offer/
security_copilot_included,e5,included,400 SCU/mo per 1000 E5/E7 users; cap 10000 SCU/mo; hard cap (throttle no auto-overage),E5/E7 entitlement (Product Terms Jan 1 2026),NO (not in GCC/GCC-H/DoD),primary,2026-08-11,https://learn.microsoft.com/en-us/copilot/security/security-copilot-inclusion
security_copilot_scu,consumption,consumption,$4/SCU/hr provisioned; $6/SCU overage; min 1 SCU; MACC-eligible,provision beyond included pool,NO,primary,2026-08-11,https://www.microsoft.com/en-us/security/pricing/microsoft-security-copilot/
entra_id_p1,e3,included,included E3; $7/user/mo standalone (was $6),already owned at E3,yes,primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
entra_id_p2,e5,included,included E5/E7; $10/user/mo standalone (was $9),E3 -> E5 Security addon OR standalone P2,yes (Azure Gov),primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
entra_suite,addon,addon,$12/user/mo (requires P1/P2 base); in E7,E5 + Entra Suite addon OR E7,partial,primary,2026-08-11,https://www.microsoft.com/en-us/security/business/microsoft-entra-pricing
entra_id_governance,component,addon,$7/user/mo component,within Entra Suite or component,unknown,non-primary,2026-08-11,https://zerotrustcost.com/microsoft-entra-pricing
entra_internet_access,component,addon,$5/user/mo component,within Entra Suite or component,unknown,non-primary,2026-08-11,https://zerotrustcost.com/microsoft-entra-pricing
entra_private_access,component,addon,$5/user/mo component,within Entra Suite or component,unknown,non-primary,2026-08-11,https://zerotrustcost.com/microsoft-entra-pricing
entra_agent_id,e7,included,foundational free to all tenants; premium via Agent 365/E7,Agent 365 or E7,unknown,non-primary,2026-08-11,https://samexpert.com/entra-id-licensing-guide/
agent_365,addon,addon,$15/user/mo standalone; included E7; per-user not per-agent,prereq: E5 OR E3+Defender Suite+Purview Suite OR BizPrem+SMB suites OR FLW,unverified for gov,primary,2026-08-11,https://www.microsoft.com/licensing/faqs/122
purview_e5_compliance,e5,included,full Purview in E5/E7; Purview Suite $12 addon to E3,E3 -> E5 Compliance addon OR full E5,yes (no doc tracking/revocation; no IRM),primary,2026-08-11,https://www.microsoft.com/en-us/licensing/news/2026-M365-Packaging-Pricing-Updates
purview_dspm_ai,e5,included,full in E5; limited E3+Copilot; agents version needs E7/Agent 365,E5 or E7/Agent 365 for agents,limited,primary,2026-08-11,https://learn.microsoft.com/en-us/purview/
purview_payg_datagov,consumption,consumption,DGPU meters (Basic/Standard/Advanced) since Jan 6 2025,Azure consumption,unknown,primary,2026-08-11,https://learn.microsoft.com/en-us/purview/data-governance-billing
purview_payg_irm_ai,consumption,consumption,PAYG per activity for Other-AI-apps indicators from Apr 1 2026,Azure consumption,no (IRM N/A GCC-H),primary,2026-08-11,https://mc.merill.net/message/MC1242784
intune_p1,e3,included,included E3/E5/BizPrem/F3; $8/user/mo standalone,already owned,yes,primary,2026-08-11,https://www.microsoft.com/en-us/security/microsoft-intune-pricing
intune_p2,e3,included,folding into E3/E5 by Jul 1 2026; $4 addon legacy,already owned post-rollout,yes,primary,2026-08-11,https://www.microsoft.com/en-us/security/microsoft-intune-pricing
intune_suite,addon,addon,$10/user/mo addon to P1; components folding into E3/E5 through 2026,addon; verify what remains after rollout,yes,non-primary,2026-08-11,https://www.microsoft.com/en-us/security/microsoft-intune-pricing
intune_device,standalone,standalone,~$3.50/device/mo (kiosks/shared/IoT),device-only estates,yes,non-primary,2026-08-11,https://www.venn.com/learn/microsoft-intune/microsoft-intune-pricing/
defender_easm,consumption,consumption,metered per asset (Azure); no public list price,Azure consumption,unknown,non-primary,2026-08-11,https://azure.microsoft.com/en-us/pricing/
defender_ti_free,free,free,$0,n/a,yes,non-primary,2026-08-11,https://learn.microsoft.com/en-us/defender/threat-intelligence/
defender_ti_premium,standalone,standalone,reseller estimate only (~$4900/mo) - DO NOT quote as list,standalone workspace,unknown,non-primary,2026-08-11,https://secureframe.com
ghas_secret_protection,per_committer,standalone,$19/active committer/mo (90-day rolling); available on Team plan,per-committer; no Enterprise required,n/a,primary,2026-08-11,https://github.blog/changelog/2025-03-04-introducing-github-secret-protection-and-github-code-security/
ghas_code_security,per_committer,standalone,$30/active committer/mo,per-committer,n/a,primary,2026-08-11,https://github.blog/changelog/2025-03-04-introducing-github-secret-protection-and-github-code-security/
ghas_both,per_committer,standalone,$49/active committer/mo (both products),per-committer,n/a,non-primary,2026-08-11,https://pixlodo.com/github-advanced-security-pricing/
