entity_id,cik,lei,wikidata_qid,method,verified_at
E0033,,549300OX0Q38NLSKPB49,Q5983823,wikidata_cik,2026-08-11
E0034,,3MGELCRSTNSAMJ962671,Q880296,wikidata_cik,2026-08-11
E0035,,2549005BWNTMASH6XX81,,gleif_exact_name,2026-08-11
E0036,,549300NNLSIMY6Z8OT86,,gleif_exact_name,2026-08-11
E0037,,Q0IK63NITJD6RJ47SW96,Q4828988,wikidata_cik,2026-08-11
E0038,,549300HHVBQRQUVKKD91,Q7109415,wikidata_cik+gleif_exact_name,2026-08-11
E0039,,,Q6715705,wikidata_cik,2026-08-11
E0040,,,Q17144598,wikidata_cik,2026-08-11
E0041,,549300QKBSQBIX4DQ583,,gleif_exact_name,2026-08-11
E0042,,OQQR1IQTGBKH0UR88X59,Q7571280,wikidata_cik,2026-08-11
E0043,,549300NXSY15DRY2R511,Q6468754,wikidata_cik,2026-08-11
E0044,,8JB38FFW1Y3C1HM8E841,,gleif_exact_name,2026-08-11
E0045,,QVLWEGTD2S8GJMO8D383,Q4817084,wikidata_cik+gleif_exact_name,2026-08-11
E0046,,5493003JOBJGLZSDDQ28,Q7119849,gleif_exact_name+wikidata_lei,2026-08-11
E0047,,5493002CLOJ5KYT5GB16,Q4867481,gleif_exact_name+wikidata_lei,2026-08-11
E0050,,5493007CIM8IF8LIUC91,Q5599878,gleif_exact_name+wikidata_lei,2026-08-11
E0053,,5493007T404QZCNC0615,,gleif_exact_name,2026-08-11
E0054,,549300JM2J6RABTTMJ05,,gleif_exact_name,2026-08-11
E0055,,SW4VC32Z0ZKLJKPONQ50,Q7083861,gleif_exact_name+wikidata_lei,2026-08-11
E0056,,549300VR7GQZV6W7OR57,,gleif_exact_name,2026-08-11
E0057,,549300MDUY8PN52FWH02,Q30289348,gleif_exact_name+wikidata_lei,2026-08-11
E0061,,254900QPHJS1WKBQGE65,,gleif_exact_name,2026-08-11
E0074,,54930000VJEJ9CGIYG32,Q7089442,gleif_exact_name+wikidata_lei,2026-08-11
E0075,,5493001J0BLQRMOJKP23,Q6984770,gleif_exact_name+wikidata_lei,2026-08-11
E0077,,549300YHSJY5PXG4BM55,,gleif_exact_name,2026-08-11
E0079,,549300XGK5KWQHON4Q79,Q5595045,gleif_exact_name+wikidata_lei,2026-08-11
E0082,,VA8TZDWPEZYU430RZ444,Q319642,wikidata_cik,2026-08-11
E0083,,WPTL2Z3FIYTHSP5V2253,Q214763,wikidata_cik,2026-08-11
E0084,,XWTZDRYZPBUHIQBKDB46,Q1275577,wikidata_cik,2026-08-11
E0085,,IM7X0T3ECJW4C1T7ON55,Q2013357,wikidata_cik,2026-08-11
E0086,,X2MT1W32SPAZ9WSKLE78,Q2962826,wikidata_cik,2026-08-11
E0088,,54930042348RKR3ZPN35,Q1206980,wikidata_cik,2026-08-11
E0089,,FCNMH6O7VWU7LHXMK351,Q4035714,wikidata_cik,2026-08-11
E0090,,549300R22LSX6OHWEN64,Q65091423,wikidata_cik,2026-08-11
E0091,,APVBKPOULHUX7YZLKU17,Q39046155,wikidata_cik,2026-08-11
E0092,,EB8SD94M6S35QR0GWN44,,gleif_exact_name,2026-08-11
E0093,,529900FA4V2YNIKZ0M71,Q20486949,wikidata_cik+gleif_exact_name,2026-08-11
E0094,,529900NXUJPOKU7OJ511,,gleif_exact_name,2026-08-11
E0095,,2549003MEX7YMKLGI239,Q136374867,gleif_exact_name+wikidata_lei,2026-08-11
E0096,,549300VCIWLRHYVSHC79,,gleif_exact_name,2026-08-11
E0097,,UASVRYNXNK17ULIGK870,Q1615684,wikidata_cik,2026-08-11
E0098,,IIVIHPH28S64K95M2381,,gleif_exact_name,2026-08-11
E0099,,84BUTVXV5ODI6BXNMH43,Q16984687,wikidata_cik,2026-08-11
E0100,,549300YJCTPJBTK7IJ81,Q945521,wikidata_cik,2026-08-11
E0101,,I03QQGEA4SS774AURI46,,gleif_exact_name,2026-08-11
E0102,,549300CI3Q2UUK5R4G79,,gleif_exact_name,2026-08-11
E0105,,QBKYQD0ODE7DC7PDIN91,Q951259,gleif_exact_name+wikidata_lei,2026-08-11
E0108,,OKFF0PIZDDMNH4UCYE51,,gleif_exact_name,2026-08-11
E0110,,98TPTUM4IVMFCZBCUR27,Q1339966,wikidata_cik,2026-08-11
E0111,,549300WR7IX8XE0TBO16,Q931032,wikidata_cik,2026-08-11
E0112,,D71FAKCBLFS2O0RBPG08,Q930639,wikidata_cik,2026-08-11
E0113,,K4CDIF4M54DJZ6TB4Q48,Q5380346,wikidata_cik,2026-08-11
E0114,,RY1052DWLDPLDW74Y843,Q5376999,wikidata_cik+gleif_exact_name,2026-08-11
E0115,,5493000CZJ19CK4P3G36,Q105965677,wikidata_cik+gleif_exact_name,2026-08-11
E0116,,2T3D6M0JSY48PSZI1Q41,Q11074156,wikidata_cik,2026-08-11
E0118,,5493003QENHHS261UR94,,gleif_exact_name,2026-08-11
E0121,,54930000GY1H533OBE23,,gleif_exact_name,2026-08-11
E0124,,MIHC87W9WTYSYZWV1J40,Q27926500,wikidata_cik,2026-08-11
E0126,,549300XB4GCLNGHFTT48,,gleif_exact_name,2026-08-11
E0127,,549300ZQBRWEUOVOM131,,gleif_exact_name,2026-08-11
E0129,,213800ZUA17OK3QLGM62,Q1425316,wikidata_cik,2026-08-11
E0130,,ENYF8GB5SMQZ25S06U51,Q656165,wikidata_cik,2026-08-11
E0131,,,Q804353,wikidata_cik,2026-08-11
E0132,,549300EHF3IW1AR6U008,Q1817417,wikidata_cik,2026-08-11
E0134,,254900XGFBKIXD6G0697,Q3370152,wikidata_cik,2026-08-11
E0135,,254900NAOGHJ88RZ4C73,Q19604418,wikidata_cik,2026-08-11
E0136,,,Q131290796,wikidata_cik,2026-08-11
E0137,,254900RBXU2DAMHEX195,,gleif_exact_name,2026-08-11
E0138,,549300EP2909K6DYYP38,,gleif_exact_name,2026-08-11
E0139,,2549000JA5GRUPLMUH98,Q7800873,wikidata_cik,2026-08-11
E0140,,549300L6PH74701W0R30,Q1150535,wikidata_cik,2026-08-11
E0141,,3BNYRYQHD39K4LCKQF12,Q458363,wikidata_cik,2026-08-11
E0142,,549300XTO5VR8SKV1V74,Q1283291,wikidata_cik,2026-08-11
E0143,,5493005JBO5YSIGK1814,Q1656230,wikidata_cik,2026-08-11
E0144,,2549003PBEDCSZMZIY02,Q16979157,wikidata_cik,2026-08-11
E0145,,549300J3U2WK73C9ZK26,Q5881864,wikidata_cik,2026-08-11
E0146,,529900SOYZIXZBTXB558,,gleif_exact_name,2026-08-11
E0147,,5493003O53JMENV1N385,Q104664954,gleif_exact_name+wikidata_lei,2026-08-11
E0148,,549300BTNS7MHSHRLR55,,gleif_exact_name,2026-08-11
E0149,,549300KP43CPCUJOOG15,Q104158381,wikidata_cik,2026-08-11
E0150,,5E2UPK5SW04M13XY7I38,Q6955139,wikidata_cik,2026-08-11
E0152,,549300LHAZ9HA9G3XC48,,gleif_exact_name,2026-08-11
E0154,,5493000TSHHWY24VHM09,Q1549511,gleif_exact_name+wikidata_lei,2026-08-11
E0155,,549300NPYMLM4NHTOF27,Q1138888,wikidata_cik,2026-08-11
E0156,,5493008U7KIGMI59Z314,Q17012234,wikidata_cik,2026-08-11
E0157,,25490043LHZ97BT5PP29,,gleif_exact_name,2026-08-11
E0158,,549300XB5J9BFW5JXV97,,gleif_exact_name,2026-08-11
E0159,,54930007SJ77CI66U531,Q7638158,wikidata_cik,2026-08-11
E0160,,549300JM5FECYJQ85V37,,gleif_exact_name,2026-08-11
E0161,,549300JPDKRSJ8JSM954,Q7205253,wikidata_cik+gleif_exact_name,2026-08-11
E0162,,5493008F4ZOQFNG3WN54,,gleif_exact_name,2026-08-11
E0164,,254900DP080RU6OK2553,,gleif_exact_name,2026-08-11
E0170,,549300FIA0OYFDEISW66,,gleif_exact_name,2026-08-11
